Actual_Heart_Rate,Predicted_Heart_Rate
164.0,138.32
163.0,138.44
166.0,138.39
166.0,138.67
166.0,138.38
138.0,140.16
128.0,140.26
121.0,140.51
115.0,139.56
118.0,138.98
118.0,138.84
121.0,138.77
121.0,138.78
123.0,138.68
120.0,138.6
117.0,139.08
111.0,139.15
117.0,138.63
116.0,138.37
121.0,138.42
118.0,138.42
112.0,140.07
129.0,138.78
122.0,138.79
134.0,138.68
134.0,138.54
135.0,138.53
139.0,138.42
140.0,138.52
141.0,138.34
139.0,138.52
143.0,138.49
142.0,138.36
141.0,138.46
141.0,138.54
143.0,138.39
143.0,138.14
143.0,138.22
143.0,138.35
146.0,138.06
147.0,138.35
148.0,138.15
149.0,138.11
146.0,138.24
151.0,138.35
148.0,138.31
148.0,138.12
150.0,138.19
150.0,138.07
147.0,138.05
154.0,138.06
153.0,138.07
153.0,137.74
150.0,138.28
150.0,137.81
154.0,137.79
150.0,138.05
151.0,137.78
154.0,137.76
154.0,137.57
154.0,137.92
152.0,137.7
154.0,137.76
153.0,137.61
154.0,137.59
154.0,137.58
155.0,137.66
155.0,137.56
152.0,137.71
151.0,137.52
117.0,139.05
146.0,137.91
145.0,137.8
144.0,137.74
147.0,137.76
143.0,138.02
146.0,137.76
144.0,137.75
141.0,137.68
142.0,137.61
145.0,137.56
145.0,137.5
146.0,137.71
147.0,137.43
143.0,137.51
143.0,137.59
141.0,137.43
141.0,137.33
144.0,137.39
140.0,137.38
138.0,137.54
137.0,137.6
138.0,137.48
141.0,137.26
141.0,137.3
140.0,137.48
143.0,137.1
138.0,137.64
144.0,137.43
139.0,136.98
139.0,137.38
140.0,137.18
139.0,137.37
139.0,137.34
137.0,137.55
139.0,137.36
139.0,137.3
139.0,137.39
136.0,137.36
133.0,137.17
140.0,137.13
133.0,137.06
137.0,136.99
134.0,136.82
141.0,136.81
141.0,136.7
144.0,137.46
128.0,137.63
123.0,137.77
116.0,137.62
104.0,140.42
111.0,139.89
114.0,139.71
113.0,139.35
118.0,139.43
119.0,139.35
113.0,139.62
111.0,140.01
114.0,139.45
114.0,139.58
107.0,140.47
114.0,139.85
124.0,139.97
124.0,140.06
110.0,140.66
116.0,139.97
114.0,140.17
126.0,140.07
123.0,140.12
122.0,140.27
121.0,139.89
125.0,140.23
119.0,140.39
123.0,140.12
123.0,140.23
126.0,140.35
130.0,140.08
125.0,140.21
129.0,140.01
128.0,140.01
122.0,140.09
127.0,139.89
118.0,139.82
117.0,139.7
117.0,139.63
120.0,139.5
124.0,139.27
119.0,139.32
117.0,140.26
110.0,140.13
115.0,139.82
111.0,139.92
117.0,139.84
114.0,139.76
115.0,139.53
115.0,139.75
113.0,139.72
120.0,139.68
111.0,139.89
98.0,140.63
108.0,139.42
114.0,139.12
124.0,139.02
128.0,138.99
125.0,139.06
124.0,139.1
121.0,138.89
127.0,138.86
122.0,139.1
122.0,139.08
121.0,138.82
119.0,139.1
118.0,139.01
116.0,139.03
94.0,140.63
107.0,139.99
119.0,139.38
126.0,139.44
126.0,139.54
123.0,139.61
125.0,139.68
128.0,139.58
129.0,139.56
124.0,139.8
120.0,139.93
123.0,139.89
127.0,139.83
127.0,139.76
106.0,140.33
111.0,139.57
112.0,139.02
114.0,139.13
117.0,138.92
115.0,139.47
114.0,138.87
116.0,138.93
114.0,139.39
109.0,139.37
114.0,138.94
111.0,139.6
108.0,139.91
113.0,139.54
107.0,139.51
95.0,140.84
105.0,139.42
107.0,139.47
95.0,140.63
102.0,139.11
104.0,139.23
130.0,138.83
126.0,139.31
132.0,138.73
142.0,138.73
140.0,138.95
143.0,138.71
150.0,138.69
153.0,138.65
151.0,138.48
153.0,138.43
157.0,138.48
152.0,138.57
152.0,138.53
153.0,138.54
152.0,138.49
150.0,138.59
157.0,138.39
153.0,138.57
152.0,138.5
154.0,138.43
156.0,138.51
155.0,138.37
155.0,138.47
156.0,138.45
154.0,138.39
152.0,138.33
154.0,138.53
154.0,138.56
154.0,138.28
156.0,138.44
156.0,138.37
154.0,138.35
155.0,138.46
153.0,138.44
154.0,138.35
153.0,138.5
155.0,138.34
155.0,138.51
154.0,138.49
156.0,138.6
157.0,138.54
159.0,138.71
156.0,138.63
158.0,138.56
158.0,138.62
159.0,138.52
157.0,138.68
114.0,139.65
137.0,136.99
151.0,137.05
152.0,136.64
157.0,136.97
154.0,137.06
149.0,136.86
147.0,136.73
145.0,137.1
138.0,137.99
143.0,136.96
147.0,137.2
148.0,136.98
147.0,137.28
149.0,137.01
146.0,137.34
145.0,137.22
142.0,137.32
146.0,137.14
143.0,137.37
143.0,137.15
144.0,137.22
147.0,137.1
148.0,137.1
148.0,137.16
147.0,137.25
144.0,137.03
147.0,137.22
146.0,137.14
143.0,137.17
144.0,137.18
143.0,137.27
143.0,137.22
142.0,137.26
144.0,137.29
146.0,137.16
141.0,137.32
132.0,138.28
101.0,140.69
125.0,137.33
137.0,136.96
136.0,136.93
140.0,137.21
133.0,137.35
133.0,137.27
143.0,137.01
139.0,136.98
143.0,136.66
144.0,136.59
152.0,136.91
133.0,138.0
129.0,137.73
104.0,139.65
121.0,139.16
114.0,138.97
111.0,138.92
128.0,138.64
125.0,138.78
129.0,138.76
133.0,138.75
